"ID";"Vermogensklassen";"KenmerkenVanHetHuishouden";"Perioden";"Aantal_1";"AantalPersonen_2";"Totaal_3";"Gemiddeld_4";"k_50ePercentielMediaan_5"
"213";"   1";"  49";"2011XX00";"154";"3.2";"54.5";"355";"184"
"214";"   1";"  49";"2011JJ00";"152";"3.2";"56";"368";"194"
"215";"   1";"  49";"2012JJ00";"157";"3.2";"55.8";"356";"183"
"216";"   1";"  50";"2006JJ00";"5434";"2.5";"753.7";"139";"34"
"217";"   1";"  50";"2007JJ00";"5453";"2.4";"828.4";"152";"39"
"218";"   1";"  50";"2008JJ00";"5477";"2.4";"865.5";"158";"41"
"219";"   1";"  50";"2009JJ00";"5514";"2.4";"817.7";"148";"33"
"220";"   1";"  50";"2010JJ00";"5528";"2.4";"766.2";"139";"23"
"221";"   1";"  50";"2011XX00";"5530";"2.4";"719.5";"130";"19"
"222";"   1";"  50";"2011JJ00";"5530";"2.4";"736.1";"133";"19"
"223";"   1";"  50";"2012JJ00";"5516";"2.4";"693.5";"126";"16"
"224";"   1";"6061";"2006JJ00";"706";"1.3";"39.4";"56";"1"
"225";"   1";"6061";"2007JJ00";"711";"1.3";"44.7";"63";"1"
"226";"   1";"6061";"2008JJ00";"717";"1.3";"48.8";"68";"1"
"227";"   1";"6061";"2009JJ00";"724";"1.2";"52";"72";"1"
"228";"   1";"6061";"2010JJ00";"730";"1.3";"52";"71";"1"
"229";"   1";"6061";"2011XX00";"734";"1.3";"49.2";"67";"1"
"230";"   1";"6061";"2011JJ00";"734";"1.3";"63.1";"86";"1"
"231";"   1";"6061";"2012JJ00";"741";"1.3";"84.6";"114";"1"
"232";"   1";"6062";"2006JJ00";"706";"1.2";"34.7";"49";"5"
"233";"   1";"6062";"2007JJ00";"711";"1.2";"37.6";"53";"5"
"234";"   1";"6062";"2008JJ00";"717";"1.2";"38.5";"54";"5"
"235";"   1";"6062";"2009JJ00";"724";"1.2";"42";"58";"5"
"236";"   1";"6062";"2010JJ00";"730";"1.2";"36.7";"50";"5"
"237";"   1";"6062";"2011XX00";"734";"1.2";"40.5";"55";"5"
"238";"   1";"6062";"2011JJ00";"734";"1.2";"42.3";"58";"5"
"239";"   1";"6062";"2012JJ00";"741";"1.2";"44.5";"60";"4"
"240";"   1";"6063";"2006JJ00";"706";"1.5";"41.5";"59";"8"
"241";"   1";"6063";"2007JJ00";"711";"1.5";"49.4";"69";"10"
"242";"   1";"6063";"2008JJ00";"717";"1.5";"43.5";"61";"11"
"243";"   1";"6063";"2009JJ00";"724";"1.5";"53.2";"73";"11"
"244";"   1";"6063";"2010JJ00";"730";"1.5";"50.5";"69";"9"
"245";"   1";"6063";"2011XX00";"734";"1.4";"53.2";"73";"9"
"246";"   1";"6063";"2011JJ00";"734";"1.5";"52.8";"72";"9"
"247";"   1";"6063";"2012JJ00";"741";"1.4";"53.9";"73";"8"
"248";"   1";"6064";"2006JJ00";"706";"1.8";"60.4";"86";"19"
"249";"   1";"6064";"2007JJ00";"711";"1.8";"68.5";"96";"21"
"250";"   1";"6064";"2008JJ00";"717";"1.8";"73.9";"103";"24"
"251";"   1";"6064";"2009JJ00";"724";"1.8";"70.1";"97";"23"
"252";"   1";"6064";"2010JJ00";"730";"1.8";"70";"96";"20"
"253";"   1";"6064";"2011XX00";"734";"1.8";"67.1";"92";"20"
"254";"   1";"6064";"2011JJ00";"734";"1.8";"68.1";"93";"18"
"255";"   1";"6064";"2012JJ00";"741";"1.8";"69.8";"94";"17"
"256";"   1";"6065";"2006JJ00";"706";"2.2";"74.2";"105";"33"
"257";"   1";"6065";"2007JJ00";"711";"2.1";"84.2";"118";"39"
"258";"   1";"6065";"2008JJ00";"717";"2.1";"92.5";"129";"45"
"259";"   1";"6065";"2009JJ00";"724";"2.1";"90.8";"125";"41"
"260";"   1";"6065";"2010JJ00";"730";"2.1";"85.1";"117";"35"
"261";"   1";"6065";"2011XX00";"734";"2.1";"81.1";"111";"31"
"262";"   1";"6065";"2011JJ00";"734";"2.1";"84.5";"115";"31"
"263";"   1";"6065";"2012JJ00";"741";"2";"87";"117";"30"
"264";"   1";"6066";"2006JJ00";"706";"2.5";"88.6";"126";"56"
"265";"   1";"6066";"2007JJ00";"711";"2.5";"99.7";"140";"62"
"266";"   1";"6066";"2008JJ00";"717";"2.5";"98.1";"137";"63"
"267";"   1";"6066";"2009JJ00";"724";"2.5";"99.1";"137";"57"
"268";"   1";"6066";"2010JJ00";"730";"2.4";"97.2";"133";"51"
"269";"   1";"6066";"2011XX00";"734";"2.4";"91.5";"125";"44"
"270";"   1";"6066";"2011JJ00";"734";"2.4";"94.6";"129";"44"
"271";"   1";"6066";"2012JJ00";"741";"2.4";"96.1";"130";"41"
"272";"   1";"6067";"2006JJ00";"706";"2.8";"95.3";"135";"81"
"273";"   1";"6067";"2007JJ00";"711";"2.7";"107.6";"151";"89"
"274";"   1";"6067";"2008JJ00";"717";"2.7";"115";"161";"90"
"275";"   1";"6067";"2009JJ00";"724";"2.7";"115.7";"160";"80"
"276";"   1";"6067";"2010JJ00";"730";"2.7";"110.5";"151";"64"
"277";"   1";"6067";"2011XX00";"734";"2.7";"101.8";"139";"57"
"278";"   1";"6067";"2011JJ00";"734";"2.7";"104.9";"143";"60"
"279";"   1";"6067";"2012JJ00";"741";"2.7";"105.2";"142";"54"
"280";"   1";"6068";"2006JJ00";"706";"2.9";"127";"180";"117"
"281";"   1";"6068";"2007JJ00";"711";"2.9";"136.1";"192";"120"
"282";"   1";"6068";"2008JJ00";"717";"2.9";"139.2";"194";"126"
"283";"   1";"6068";"2009JJ00";"724";"2.9";"138.7";"191";"117"
"284";"   1";"6068";"2010JJ00";"730";"2.9";"128.9";"177";"100"
"285";"   1";"6068";"2011XX00";"734";"2.9";"120.1";"164";"87"
"286";"   1";"6068";"2011JJ00";"734";"2.9";"125";"170";"88"
"287";"   1";"6068";"2012JJ00";"741";"2.9";"124.8";"169";"81"
"288";"   1";"6069";"2006JJ00";"706";"3.1";"165.5";"234";"162"
"289";"   1";"6069";"2007JJ00";"711";"3.1";"182.9";"257";"172"
"290";"   1";"6069";"2008JJ00";"717";"3.1";"175.6";"245";"178"
"291";"   1";"6069";"2009JJ00";"724";"3.1";"173.4";"239";"164"
"292";"   1";"6069";"2010JJ00";"730";"3.1";"175";"240";"145"
"293";"   1";"6069";"2011XX00";"734";"3.1";"161.9";"221";"134"
"294";"   1";"6069";"2011JJ00";"734";"3.1";"162";"221";"131"
"295";"   1";"6069";"2012JJ00";"741";"3.1";"160.3";"217";"121"
"296";"   1";"6070";"2006JJ00";"706";"3.3";"386.8";"548";"273"
"297";"   1";"6070";"2007JJ00";"711";"3.3";"413.1";"581";"282"
"298";"   1";"6070";"2008JJ00";"717";"3.3";"474.3";"662";"309"
"299";"   1";"6070";"2009JJ00";"724";"3.4";"413.5";"571";"292"
"300";"   1";"6070";"2010JJ00";"730";"3.3";"407.6";"558";"258"
"301";"   1";"6070";"2011XX00";"734";"3.4";"402";"548";"247"
"302";"   1";"6070";"2011JJ00";"734";"3.4";"393.8";"537";"239"
"303";"   1";"6070";"2012JJ00";"741";"3.4";"340.1";"459";"220"
"304";"   1";"6081";"2006JJ00";"343";"1.3";"2.4";"7";"1"
"305";"   1";"6081";"2007JJ00";"347";"1.3";"2.8";"8";"1"
"306";"   1";"6081";"2008JJ00";"352";"1.3";"3.2";"9";"1"
